Month,Type,Value,Year,Unit,Month_num
November,"West, Westfjords and Southwest to 2007",25.1,2002,Occupancy rate of rooms,11
November,Total,28.0,2002,Occupancy rate of beds,11
November,East,12.9,2002,Occupancy rate of beds,11
November,Capital region,40.1,2002,Occupancy rate of beds,11
November,North,12.1,2002,Occupancy rate of beds,11
November,South,14.2,2002,Occupancy rate of beds,11
November,"West, Westfjords and Southwest to 2007",16.8,2002,Occupancy rate of beds,11
December,Total,23.2,2002,Occupancy rate of rooms,12
December,East,7.8,2002,Occupancy rate of rooms,12
December,Capital region,36.9,2002,Occupancy rate of rooms,12
December,North,4.4,2002,Occupancy rate of rooms,12
December,South,6.2,2002,Occupancy rate of rooms,12
December,"West, Westfjords and Southwest to 2007",13.0,2002,Occupancy rate of rooms,12
December,Total,17.5,2002,Occupancy rate of beds,12
December,East,5.4,2002,Occupancy rate of beds,12
December,Capital region,26.9,2002,Occupancy rate of beds,12
December,North,5.8,2002,Occupancy rate of beds,12
December,South,5.8,2002,Occupancy rate of beds,12
December,"West, Westfjords and Southwest to 2007",9.0,2002,Occupancy rate of beds,12
January,Total,26.0,2003,Occupancy rate of rooms,1
January,East,16.3,2003,Occupancy rate of rooms,1
January,Capital region,37.9,2003,Occupancy rate of rooms,1
January,North,8.3,2003,Occupancy rate of rooms,1
January,South,9.1,2003,Occupancy rate of rooms,1
January,"West, Westfjords and Southwest to 2007",19.1,2003,Occupancy rate of rooms,1
January,Total,19.1,2003,Occupancy rate of beds,1
January,East,8.8,2003,Occupancy rate of beds,1
January,Capital region,28.4,2003,Occupancy rate of beds,1
January,North,6.5,2003,Occupancy rate of beds,1
January,South,7.1,2003,Occupancy rate of beds,1
January,"West, Westfjords and Southwest to 2007",12.2,2003,Occupancy rate of beds,1
February,Total,38.8,2003,Occupancy rate of rooms,2
February,East,20.2,2003,Occupancy rate of rooms,2
February,Capital region,57.8,2003,Occupancy rate of rooms,2
February,North,17.4,2003,Occupancy rate of rooms,2
February,South,16.1,2003,Occupancy rate of rooms,2
February,"West, Westfjords and Southwest to 2007",20.5,2003,Occupancy rate of rooms,2
February,Total,30.2,2003,Occupancy rate of beds,2
February,East,11.3,2003,Occupancy rate of beds,2
February,Capital region,46.2,2003,Occupancy rate of beds,2
February,North,12.2,2003,Occupancy rate of beds,2
February,South,13.4,2003,Occupancy rate of beds,2
February,"West, Westfjords and Southwest to 2007",15.1,2003,Occupancy rate of beds,2
March,Total,46.4,2003,Occupancy rate of rooms,3
March,East,25.3,2003,Occupancy rate of rooms,3
March,Capital region,65.2,2003,Occupancy rate of rooms,3
March,North,21.7,2003,Occupancy rate of rooms,3
March,South,26.3,2003,Occupancy rate of rooms,3
March,"West, Westfjords and Southwest to 2007",28.6,2003,Occupancy rate of rooms,3
March,Total,36.9,2003,Occupancy rate of beds,3
March,East,14.8,2003,Occupancy rate of beds,3
March,Capital region,52.3,2003,Occupancy rate of beds,3
March,North,16.9,2003,Occupancy rate of beds,3
